time,open,high,low,close,VWAP,Upper Band,Lower Band,Middle of Bands,Slow MA,VWAP
2025-06-09T17:00:00+02:00,21814.43,21840.93,21785.93,21811.3,,60.079882973630454,48.72062454257384,54.400253758102146,59.33547899456394,
2025-06-09T18:00:00+02:00,21811.3,21856.3,21788.05,21842.18,,60.59051434958661,48.93695630898675,54.76373532928668,60.39916183412947,
2025-06-09T19:00:00+02:00,21842.18,21853.55,21806.8,21839.55,,61.03433644828014,49.153377003906044,55.093856726093094,61.482375519134465,
2025-06-09T20:00:00+02:00,21839.55,21850.8,21814.05,21841.68,,61.42350896033578,49.46796233712571,55.44573564873075,61.40364276384789,
2025-06-09T21:00:00+02:00,21841.68,21847.55,21786.93,21791.68,,61.358895588231306,49.86242966735544,55.610662627793374,58.354883717405244,
2025-06-09T22:00:00+02:00,21791.68,21797.05,21769.3,21794.05,,61.35911290916412,50.09090310235515,55.72500800575963,55.330091733170505,
2025-06-09T23:00:00+02:00,21794.05,21794.18,21794.05,21794.18,,61.235393941746324,50.58340382269104,55.90939888221868,55.44973718608541,
2025-06-10T00:00:00+02:00,21794.18,21818.23,21794.18,21800.1,,61.169944128119255,50.9831962220385,56.07657017507888,55.76185346773076,
2025-06-10T01:00:00+02:00,21800.1,21812.1,21800.1,21807.48,,61.1587767533562,50.979096059713775,56.06893640653499,56.45509441526217,
2025-06-10T02:00:00+02:00,21807.48,21846.48,21790.1,21838.35,,60.96329549338362,51.06380599714583,56.01355074526472,58.394775445449646,
2025-06-10T03:00:00+02:00,21838.35,21947.6,21837.73,21941.23,,62.09299337026182,50.40171093031303,56.247352150287426,63.97383801967467,
2025-06-10T04:00:00+02:00,21941.23,21942.73,21918.98,21922.73,,62.7784509009592,50.105815718192446,56.44213330957582,66.75715870343763,
2025-06-10T05:00:00+02:00,21922.73,21927.35,21907.6,21913.48,,63.39087033313954,50.06516476810187,56.728017550620706,64.89629949949162,
2025-06-10T06:00:00+02:00,21913.48,21916.1,21886.98,21892.1,,63.57562220775647,50.04099143768113,56.8083068227188,62.87372294891121,
2025-06-10T07:00:00+02:00,21892.1,21905.35,21731.6,21803.23,,63.45175944687156,49.70783708585738,56.57979826636447,56.54276377857331,
2025-06-10T08:00:00+02:00,21803.23,21813.85,21776.23,21782.98,,63.52626378460286,49.283667587808495,56.40496568620568,50.66413583694563,
2025-06-10T09:00:00+02:00,21782.98,21800.98,21707.6,21768.73,,63.60064916773973,48.70492607774095,56.15278762274034,49.05089815549593,
2025-06-10T10:00:00+02:00,21768.73,21796.23,21735.1,21787.85,,63.63705391903211,48.5748150693167,56.105934494174406,49.321494489799285,
2025-06-10T11:00:00+02:00,21787.85,21815.98,21780.73,21803.73,,63.64748509730486,48.48030774581273,56.063896421558795,51.010840358741476,
2025-06-10T12:00:00+02:00,21803.73,21831.98,21802.98,21815.6,,63.6427541432225,48.527311702923164,56.08503292307283,52.33312200505284,
2025-06-10T13:00:00+02:00,21815.6,21833.1,21779.48,21831.98,,63.63729464028918,48.694713037574,56.16600383893159,53.66840455082047,
2025-06-10T14:00:00+02:00,21831.98,21840.85,21822.23,21829.1,,63.62447962186893,48.85375265797019,56.23911613991956,54.276331259456086,
2025-06-10T15:00:00+02:00,21829.1,21868.6,21793.23,21832.85,,63.61586182320165,49.01792101504983,56.31689141912574,54.299732523519,
2025-06-10T16:00:00+02:00,21832.85,21865.73,21824.1,21828.85,,63.604279840280135,49.144677866844056,56.374478853562096,54.240279483614415,
2025-06-10T17:00:00+02:00,21828.85,21853.98,21718.73,21850.1,,63.62305752095427,49.37175099413559,56.49740425754493,55.09897643972549,
2025-06-10T18:00:00+02:00,21850.1,21891.48,21847.1,21885.23,,63.799418705811014,49.537931918955444,56.66867531238323,57.88984403963187,
2025-06-10T19:00:00+02:00,21885.23,21906.1,21841.1,21846.85,,63.777534271640945,49.48008039084394,56.62880733124244,57.158532121472504,
2025-06-10T20:00:00+02:00,21846.85,21941.35,21794.98,21923.73,,64.05072707158361,49.53307277348556,56.79189992253458,58.040472772862714,
2025-06-10T21:00:00+02:00,21923.73,21966.35,21885.98,21939.48,,64.42105907825895,49.632989145660346,57.02702411195965,61.92714554038902,
2025-06-10T22:00:00+02:00,21939.48,21943.85,21910.85,21925.98,,64.64359495838555,49.81480722489128,57.229201091638416,61.68231908963841,
2025-06-10T23:00:00+02:00,21925.98,21925.98,21925.6,21925.6,,64.81333080940047,49.85641047010568,57.33487063975308,60.8258155026295,
2025-06-11T00:00:00+02:00,21925.6,21960.63,21920.63,21949.88,,65.15132472400302,49.93755714092791,57.54444093246546,61.78435320442728,
2025-06-11T01:00:00+02:00,21949.88,21978.63,21893.63,21931.38,,65.31142169288643,50.11064235243432,57.711032022660376,61.556728062241916,
2025-06-11T02:00:00+02:00,21931.38,21942.38,21888.88,21891.63,,65.19896574499127,49.98746320178422,57.59321447338775,57.9318869694858,
2025-06-11T03:00:00+02:00,21891.63,21900.75,21859,21884.88,,65.09536027087242,49.83154356959326,57.46345192023284,55.126617253295734,
2025-06-11T04:00:00+02:00,21884.88,21887.13,21868.38,21871.63,,64.83955576914302,49.58989722785597,57.214726498499495,53.96486626102919,
2025-06-11T05:00:00+02:00,21871.63,21886.38,21863.88,21884.13,,64.58422182603911,49.44230548690641,57.01326365647276,53.829175035213126,
2025-06-11T06:00:00+02:00,21884.13,21890.88,21850,21853.63,,64.34296233180301,49.061744751278454,56.70235354154073,52.69330249554885,
2025-06-11T07:00:00+02:00,21853.63,21877.13,21843.5,21858.25,,64.35756660727078,48.824053372555674,56.590809989913225,51.17317138589325,
2025-06-11T08:00:00+02:00,21858.25,21882.63,21852.75,21873.13,,64.34180055647579,48.69905674676218,56.520428651618985,52.23736860450073,
2025-06-11T09:00:00+02:00,21873.13,21911.63,21869.5,21905.63,,64.36384285699383,48.73236628043796,56.54810456871589,54.72374502573054,
2025-06-11T10:00:00+02:00,21905.63,21935.88,21896.75,21919.75,,64.4197356648829,48.776651233998905,56.5981934494409,57.08385503070331,
2025-06-11T11:00:00+02:00,21919.75,21925.88,21892,21893.63,,64.37084824722535,48.684208007914684,56.52752812757002,56.10529491578235,
2025-06-11T12:00:00+02:00,21893.63,21915.88,21886.13,21906.38,,64.19014894479241,48.61789420223093,56.40402157351167,55.09385355465278,
2025-06-11T13:00:00+02:00,21906.38,21916.88,21859.13,21907.63,,63.1150382241639,48.97989618092814,56.04746720254602,55.81280229426666,
2025-06-11T14:00:00+02:00,21907.63,22080.75,21866.38,22006.5,,62.991589376998064,49.046689377538044,56.019139377268054,60.21416136729658,
2025-06-11T15:00:00+02:00,22006.5,22017.63,21894.75,21958.88,,62.4772307548897,49.23369074864041,55.85546075176506,61.63218983621567,
2025-06-11T16:00:00+02:00,21958.88,22040,21952.05,22034.75,,62.76700757854522,49.10097036786638,55.9339889732058,61.42616607985286,
2025-06-11T17:00:00+02:00,22034.75,22044.13,21955.5,21972,,62.84555542988591,49.372576148197034,56.10906578904147,60.85404941227231,
2025-06-11T18:00:00+02:00,21972,21984.5,21886.38,21955.75,,62.7856593494804,49.80300230251268,56.29433082599654,56.78994733438812,
2025-06-11T19:00:00+02:00,21955.75,21996,21888.75,21895.25,,62.66708661777593,50.05424601447563,56.36066631612578,53.32810711592913,
2025-06-11T20:00:00+02:00,21895.25,21908.25,21769,21839.13,,62.92503335198573,49.56528815132059,56.24516075165316,48.48560322596185,
2025-06-11T21:00:00+02:00,21839.13,21869.38,21802.88,21865.38,,63.05460812670725,49.242439926940236,56.14852402682374,47.40442144060691,
2025-06-11T22:00:00+02:00,21865.38,21885.63,21848.63,21857,,63.220661727972136,48.77885744079176,55.99975958438195,48.16130216144224,
2025-06-11T23:00:00+02:00,21857,21857,21856.38,21856.38,,63.3571229296973,48.25118989318837,55.80415641144283,47.81415508934502,
2025-06-12T00:00:00+02:00,21856.38,21871.5,21804.63,21813.63,,63.67641881664878,47.36445701568829,55.52043791616853,46.12786289982818,
2025-06-12T01:00:00+02:00,21813.63,21843,21796.38,21815.88,,63.90812244279053,46.55581703159369,55.23196973719211,44.5725590612567,
2025-06-12T02:00:00+02:00,21815.88,21825.63,21761.13,21779,,64.28347511965293,45.47007180308915,54.876773461371045,43.297983752057014,
2025-06-12T03:00:00+02:00,21779,21791,21732.63,21763.88,,64.57425575580243,44.27496603956818,54.4246108976853,41.37387616810967,
2025-06-12T04:00:00+02:00,21763.88,21771.75,21750.38,21763.75,,64.5702897277845,43.17573025147398,53.87300998962924,40.825865020021155,
2025-06-12T05:00:00+02:00,21763.75,21801.75,21762.38,21786,,64.61687925692456,42.45073811206225,53.53380868449341,42.014894497210506,
2025-06-12T06:00:00+02:00,21786,21808.25,21781,21807.63,,64.13897642194681,41.99426427799727,53.06662034997204,44.331848898690225,
